SL,Time,BP,Circulation,HR,EEG
50654,13155,19,2188,215,-5180
38461,11474,36,1875,219,-4481.2
78628,14404,71,3466,320,-7366
33637,10037,32,1575,182,-5475
32743,11285,27,1635,210,-3238
20159,8931.1,25,1210,141,-3134
4842.3,7532.6,18,205,86,-1860
60163,13476,28,2754,247,-4640
5689.3,7434.8,16,292,79,-1260
9915.4,8393.2,27,554,138,-2730.3
68802,11294,147,3373,247,-5243.1
9609,8080,97,490,130,-3027.8
16781,8575.2,76,844,142,-2748.3
2.81E+05,21387,65,9276,468,-9704.7
1.14E+05,14364,207,4923,356,-8381
35248,10070,129,1691,208,-4417.8
26990,8500.1,26,1364,156,-2590
7411.6,6463.7,48,545,93,-1468.6
79280,13089,44,3296,260,-4448
25768,9577.4,30,1415,174,-3341.9
26761,8642.3,87,1521,156,-2779.5
50807,13314,33,2464,234,-3460
11947,8557.7,84,693,128,-2458.6
4041.2,6535.7,71,249,101,-2395
14035,7088,84,809,120,-2394.2
49518,14016,22,2263,226,-5312
13114,8122.6,15,806,132,-2696.5
37851,9137.4,37,2054,180,-3775.4
11142,6119.6,24,764,102,-1881.6
1.35E+05,16178,72,5126,416,-9589
16480,8447,76,844,142,-2817.8
90037,12756,170,4066,288,-6933
12104,8923.5,93,619,136,-2713.7
28618,11991,67,1421,248,-5930
39621,11831,47,2118,193,-3743.2
4417,5525.3,17,292,88,-941
3944.5,4674.1,13,317,79,-1210
13250,6957.4,24,804,96,-1535.6
3552,4669.7,44,271,75,-2274
1.20E+05,15831,54,4824,348,-7784
68948,11644,147,3373,247,-5201.1
2889.5,4890.4,54,224,67,-1304
46.008,2529,6,5,33,-262
78648,12981,63,3539,272,-5450
6997,7334.2,15,397,121,-3343
49640,14132,48,2464,234,-3120
12022,9873.7,59,619,136,-2348
4376.9,5446.1,17,292,88,-1020
10584,9989.9,34,587,154,-2660
86447,11108,20,3450,220,-3290
1.54E+05,14919,42,6081,374,-9347
1.42E+05,13621,186,6057,308,-6212.3
8225.3,6043.1,57,582,98,-2301.6
40114,11068,62,2059,223,318
4.27E+05,20448,103,12484,390,-9079
8463,6496.3,11,553,117,-1578
9230,7297.1,21,522,116,-2616
2.68E+05,25006,61,8870,540,-11800
1.15E+05,13734,43,4809,298,-5886
9540,6896.3,41,582,115,-2352
1.44E+05,14546,146,6057,308,-6081.2
51304,13584,31,2464,234,-4350
10275,6154.8,16,689,109,-3170
4693.5,5875.7,21,343,85,-1740
59921,14454,163,2610,305,-6744.4
13502,6608.5,33,804,96,-1536.8
1.58E+05,15578,78,6290,388,-8720
1.39E+05,17738,132,5537,449,-7360
4173.9,5771.5,125,318,88,-1472.5
26112,7752.6,93,1521,156,-2980.7
9778.3,8174.1,30,554,138,-3143.6
40484,13912,69,1577,213,-3843
93081,13535,74,3885,254,-5000
11477,8751.5,43,654,156,-3072.8
2.91E+05,18002,71,10102,466,-10453
60151,13152,34,2754,247,-5060
85268,11171,25,3450,220,-2710
1.38E+05,16107,83,5537,449,-9240
4834.7,5847.8,22,343,85,-1190
1.40E+05,13118,170,6057,308,-6289.3
13539,8722.9,19,729,148,-2935.2
8.91E+05,30891,136,24027,728,-16372
5.19E+05,20874,155,18067,540,-12068
1.38E+05,17709,118,5537,449,-7830
4565.3,5720.6,20,340,72,-1187.2
38205,9573.9,39,2054,180,-3761.4
1.16E+05,15580,156,3634,333,-7995
50602,12904,39,2464,234,-4350
23241,7621.9,14,1413,179,-4366
1.61E+05,18490,104,6744,352,-6628.4
4285.7,5309.8,11,317,79,-721
4818,8236.5,26,271,131,-2735.5
37702,11016,64,1756,229,-3601
1.60E+05,18433,78,6290,388,16000
13775,6843.4,13,804,96,-1559.7
88278,10553,32,3450,220,-4830
17886,10305,77,973,172,-3704.5
10966,5552.9,23,764,102,-1995.5
25521,8856.9,43,1364,156,-2500
3233,6342.4,18,186,80,-1673
50984,11256,25,2677,216,-4260
46117,13112,43,2059,223,-2350
11375,9077.5,30,654,156,-3063.6
1830.3,3667.9,7,166,63,-1254.2
4170.5,4701.5,9,317,79,-1960
5684.5,7157.7,65,346,107,-2267.6
1.44E+05,14484,157,6057,308,-5995.5
48380,10739,18,2325,220,-6093
4666.6,8662.8,33,271,131,-2594.5
33679,10962,43,1414,166,-1200
30605,8730.4,67,1806,186,-3693
16866,8329.1,76,844,142,-2652.2
12868,7872.9,15,806,132,-2750
9523.8,7750.8,99,490,130,-3050.2
4149.2,5872.7,121,318,88,-1561.3
7674.6,5963.6,70,457,104,-1766
71038,12120,35,3211,262,-5739.3
7145.2,5837.6,45,545,93,-1622.4
60062,11960,36,2754,247,-6110
1930.4,4014.4,6,166,63,-1080.6
75220,11867,25,3630,249,-4350
4243.7,4903.2,12,317,79,-1360
14129,7299.5,84,809,120,-2317.8
51944,13496,61,2334,288,-6013.8
1404.3,3758.9,31,100,40,-612.77
5459,5810.9,16,395,90,-1129
2.50E+05,23936,95,8350,537,-9080
22896,9332,31,850,140,-2640
38131,9448.3,41,2054,180,-3808.5
67806,15520,389,2685,274,-7176
1.16E+05,15055,74,4426,271,-6660
27884,11274,81,1469,214,-3564.6
51749,10306,22,2599,188,-3620
1.08E+05,14505,49,4619,322,-6670
13482,6600,24,804,96,-1500.8
12585,7550.8,16,806,132,-2863.3
1447.9,3780,42,133,52,-1013.6
4931.6,8633.6,36,271,131,-2580.4
1.56E+05,16244,175,5637,338,-7600
15439,7297,66,970,134,-2654.1
67850,12779,89,2827,251,-5933
61310,13443,31,2754,247,-5230
2.38E+05,23268,91,8350,537,-9820
49858,11334,20,2677,216,-4570
53382,11090,38,2394,215,-4159.6
3874,4883.2,15,317,79,-1510
4.52E+05,23252,109,15336,568,-13753
11215,5717.8,24,764,102,-1914.4
2.44E+05,20676,48,5025,368,-6136
48255,10060,22,2677,216,-5220
1.14E+05,12022,38,4905,235,-2330
8242,7214.3,16,457,117,-2144
1.18E+05,15398,61,4426,271,-4880
25370,8449.7,23,1519,157,-3262.2
8826.7,7456.2,67,517,107,-1807.7
6135,7104.3,4,291,85,-2525
1.51E+06,34826,139,41819,874,-26917
2168.4,3949.9,20,165,54,-1123.5
50615,11351,21,2677,216,-4320
1.11E+05,14864,42,4619,322,-3680
1.61E+05,18363,99,6290,388,-10000
4267.8,5472.5,10,317,79,-875
63286,13433,10,1691,211,-6229
98298,12045,61,4910,309,-7848
1.43E+05,16577,177,5847,362,-7339.1
66410,13733,56,2822,223,-1750
22501,9842.7,40,1212,182,-2530
25187,8499.4,33,1519,157,-3137.8
73355,12492,28,3630,249,-4460
2.79E+05,21046,71,9276,468,-10219
59226,11144,129,2904,217,-4227.4
25362,8767.1,38,1519,157,-3088
51110,14502,44,2464,234,-4000
66837,11511,43,2902,243,-5305.2
13283,6581.1,18,804,96,-1552.9
16046,8429.5,61,933,149,-4093
9540,8627.9,44,487,134,-2159
38970,9714.3,41,2118,193,-4182.1
13750,6816.9,26,804,96,-1488.9
2.85E+05,23126,55,9276,468,-9575.6
17573,7062.1,23,1107,152,-3700
36240,11748,27,1581,234,-3070
51.661,2452.9,96,5,33,-467
1.11E+05,15040,53,4066,310,-9398
26527,9540.4,25,1415,174,-3636.8
1.45E+05,14205,155,6057,308,-6052
70456,15993,31,1817,250,-8891
11296,8971,35,654,156,-3093.7
1.80E+05,18301,74,6746,403,-5930
11327,9455.4,81,587,139,-2635.8
3.40E+05,20476,358,11883,517,-14337
7096.7,5438.2,45,545,93,-1596
32688,10342,72,1922,176,-3364.4
6722,6344.8,12,426,96,-2789
18250,12500,49,519,150,-3220
1.15E+05,11890,43,4905,235,-4270
9289.4,7221,15,554,138,-3192.9
13129,7130.1,34,805,134,-3967
1574.5,5074.4,10,147,76,-684.95
13581,8465.9,19,729,148,-2832.4
61243,16394,61,2536,315,-6390
95178,13563,207,3883,291,-7155
24690,10628,48,1111,166,-1110
4344.2,5133.7,14,340,72,-1299.2
1.60E+05,13756,65,6735,321,-6029
33367,9579,85,1922,176,-3619.4
7.60E+05,25215,149,24015,753,-20120
1.60E+05,20634,93,5537,449,-8630
69122,11267,147,3373,247,-5231
70528,13006,41,3211,262,-5525.1
89889,13139,62,3885,254,-5580
1.04E+05,14089,45,4344,288,-7853
20529,9099.5,66,1156,145,-2884.5
32579,9618.6,46,1689,170,-4902
2.79E+05,24600,71,8870,540,-11700
1.28E+05,14857,196,5016,318,-9328
13548,7423.7,82,809,120,-2349.3
26131,9821.9,25,1415,174,-3371.5
33376,11409,24,1211,168,-3886
9580.7,7216.6,26,621,123,-2493.6
42337,12212,44,1749,221,-6104
1.41E+05,14312,43,5844,315,-4730
5.16E+05,22566,148,18067,540,-11456
12064,8105.7,92,693,128,-2828.5
4.15E+05,21741,60,14125,473,-10500
10232,8266.2,95,490,130,-2863.6
4086.3,6853.3,71,249,101,-2326.1
1.13E+05,14884,37,4910,311,-8358
4331.3,5619.5,13,292,88,-1060
1782.7,5586.7,15,147,76,-1427.6
38245,9980.2,122,1753,200,-5814
1.15E+05,15507,49,4426,271,-4790
64547,10572,34,3052,243,-6935
37643,11223,41,1695,214,-5392
37324,11326,52,1752,199,-3800
63494,12417,167,2530,219,-4503
4.11E+05,21472,72,14125,473,-8890
87068,11067,17,3450,220,-3190
15320,7352.4,32,934,149,-3916
14921,7229.5,43,807,145,-3195
4.71E+05,22640,61,15505,483,-13900
5358,7021.4,16,292,79,-2080
47.823,2604.8,6,5,33,-518
9.38E+05,37729,159,23155,720,-17535
3219.6,4815.3,26,249,71,-1190.5
90811,13542,44,3885,254,-3400
15307,9208,83,735,160,-4511
1.63E+05,17743,73,6744,352,-7396
1715.3,5133.4,10,147,76,-1327.5
28950,9149.7,30,1626,179,-3329.8
46564,13163,52,1581,234,-2230
3.20E+05,24171,221,7111,491,-12883
35267,9869.6,23,1414,166,-2480
28719,9077.2,38,1626,179,-3344.3
3379.7,4942.2,49,132,51,-834.82
1.23E+05,13920,28,5637,324,-6761
87759,10499,41,3885,254,-5160
15129,6389.4,18,1012,123,-2802
3258,5518.2,14,228,112,-4057
13733,9063.6,30,764,171,-4577
14292,7426.1,83,809,120,-2388.1
86443,11020,20,3450,220,-3940
4239.3,5433.8,18,292,88,-628
34898,10872,64,1922,176,-3299.5
5185.9,6219.2,9,292,79,-1150
4.50E+05,21731,64,12507,449,-11569
47389,13582,69,2061,273,-5794.7
10304,6420.9,16,689,109,-3540
47380,10832,60,2316,201,-5304
25791,9527.8,29,1415,174,-3365.4
1.41E+05,14483,108,5330,296,-7339
51576,13528,30,2464,234,-3850
26663,10840,43,1469,214,-4142.9
37882,10726,112,1751,205,-4077.2
34607,9601.8,87,1922,176,-3592.7
51.167,2488.9,6,5,33,-572
2967.9,4805.7,45,224,67,-1227.1
46.14,2632.7,6,5,33,-492
26981,10251,30,1415,174,-3250.4
59292,14742,40,2188,215,-5030
2.05E+05,17624,94,3209,258,-6392
38197,10073,21,2118,193,-4051.8
1.41E+05,12795,184,6057,308,-6353.4
98686,16431,34,3631,306,-6111
1.46E+05,11806,36,6283,287,-8457
41299,10089,13,1885,196,-2440
12853,8073.1,15,806,132,-2730.2
1.13E+05,11263,49,4905,235,-3570
1.17E+05,15665,53,4426,271,-4330
3275.1,4989.3,29,249,71,-1162.5
12373,6632.3,14,765,105,-1828.8
1.83E+05,18599,172,5539,356,-10307
30390,11942,40,1521,194,-2460
34123,9858.4,81,1922,176,-3504.7
1.42E+05,15292,54,5844,315,-2320
12020,8070.6,82,693,128,-2566
96340,13540,55,4249,294,-5744.8
3.01E+05,19924,80,10102,445,-8462
37808,9068.5,40,2054,180,-3840.8
1.32E+05,19188,83,4634,391,-8669
1.40E+05,13979,164,6057,308,-6126.3
87127,13942,29,3626,314,-6004
2.88E+05,20533,308,10392,491,-13643
26253,9528.4,26,1415,174,-3423.3
2819.9,4548.9,52,224,67,-1394.7
27346,10663,59,1469,214,-4353.4
5.16E+05,22270,143,18067,540,-11610
1.00E+05,13459,66,4247,309,-7683
2.80E+05,22654,68,9276,468,-9684.4
16743,9121.1,0,844,142,-1664.1
10897,6757.6,23,654,116,-3399
4414,4749.3,9,317,81,-2567
29971,12050,37,1521,194,-2370
3336.4,5400.8,44,249,71,-1087.3
7530.2,6524.7,13,405,90,-1412.3
14424,9774.9,23,729,148,-2739.3
1949.5,4158.4,5,166,63,-1061.6
60651,13138,27,2754,247,-4750
4082.5,7108.6,71,249,101,-2278.5
1.15E+05,11539,45,4905,235,-1790
2.77E+05,23904,105,8350,537,-9670
1.57E+05,15717,255,6071,381,-9659
52969,12272,104,2192,224,-3290
7519.9,5986.1,69,457,104,-1763.9
46214,12632,61,2061,273,-5869.6
85898,10448,22,3450,220,-3300
4265.4,5087.8,11,317,79,-1360
9399.1,8350.3,96,490,130,-2657.5
69210,11407,148,3373,247,-5206.6
1.12E+05,14278,36,4436,311,-9345
40164,11166,29,2118,193,-3847.1
1390.9,4270,27,102,51,-910.96
1.66E+05,15740,211,6177,330,-5863
1386.3,3783.9,37,133,52,-982.7
4.77E+05,25572,57,15505,483,-12100
4.68E+05,18253,75,16386,460,-11762
4281,5227.2,11,317,79,-1200
53641,13739,41,2188,215,-4380
1.62E+05,19083,86,6290,388,-9730
67.666,2705.4,96,5,33,-452
25997,8488,29,1364,156,-2770
51893,14122,46,2464,234,-3510
1.18E+05,16194,58,4426,271,-4020
4384.3,5243.3,17,292,88,-1380
9161.7,8480.1,36,549,149,496
12799,9131,91,619,136,-2695.3
28684,9969.3,30,1521,194,-1880
16871,8778.1,26,932,163,-2480
1.06E+06,31189,468,26724,725,-9678
29103,9055.5,32,1626,179,-3437.3
1.17E+05,15189,60,3382,258,-6820
22292,8494.6,105,1308,162,-4997
44187,12370,49,2003,279,-6851
1.59E+05,16989,68,6744,352,-7177.2
1.14E+05,11376,48,4905,235,-3700
9889.8,8538,36,587,154,-3800
6.25E+05,26338,97,17898,675,-17670
26320,8514,30,1364,156,-2320
4791.4,5150.9,22,343,85,-1230
13324,6652.5,17,804,96,-1569.4
52063,9412.2,27,2599,188,-2650
38867,10840,30,1873,254,-7277
1967.2,3578.9,3,161,43,-644.74
4565.6,8178.4,30,271,131,-2668.4
11204,6056.8,24,764,102,-1861.9
11183,8547.9,26,654,156,-3144.6
61215,13523,27,2754,247,-5870
10293,9666.8,36,587,154,-1810
14067,7126.2,87,809,120,-2411.4
4.74E+05,24275,40,15505,483,-12000
31926,12745,82,1413,196,-5379
20527,10030,36,974,146,-2033
26310,9943.2,39,1415,174,-3344.6
3888.8,6079.9,43,270,88,-1467.1
5030.6,6617.3,68,346,107,-2228
1.65E+05,19869,58,5025,400,-8930
26428,10345,41,1469,214,-4286
3134.1,4676.9,36,249,71,-1231.8
24299,9957.9,17,1111,166,-1370
12109,7467.3,67,694,130,-2872.7
33936,10588,101,1696,214,-4754
5701.2,6068.3,23,343,85,-1460
1.22E+05,15180,35,5119,319,-8474
1.17E+05,15588,59,4426,271,-5440
51744,14258,34,2188,215,-5460
1.44E+05,18354,315,5850,393,-10130
3845.7,4707.6,21,317,79,-1410
6929.8,6842.8,35,427,95,-1709.6
76325,14079,46,3211,262,-1468.9
4520.6,5522.6,18,292,88,-1210
32858,9533.5,93,1922,176,-3427.3
57.842,2485.5,96,5,33,-242
7251.6,6763,158,486,109,-2400
1.38E+05,14500,40,5955,354,-9102
1454.9,3820.8,42,133,52,-1015
4314.7,5548,10,317,79,-1090
37868,8672.1,43,2054,180,-3907.8
25146,8668.9,28,1519,157,-3181.5
7173.9,5574.7,47,545,93,-1650.6
65870,15204,46,2188,215,-5300
5285.4,6491.2,8,292,79,-1260
2977.5,4818.9,8,249,71,-1142.3
6799.3,6952.8,27,395,119,-1210
27680,9790.9,99,1403,158,-2926.8
82517,15336,64,2059,223,-2660
58959,10486,84,2904,217,-4515.9
1.17E+05,16140,146,4433,309,-9147
3.33E+05,19992,69,9818,369,-12838
15518,7552.6,77,970,134,-2772.5
21567,10224,87,1118,184,-4351
1.48E+05,16685,35,5526,324,-8123
1.69E+05,16373,79,6634,407,-10092
13509,6419.9,19,804,96,-1520.3
1.29E+05,12346,47,5838,297,-8041
4.01E+05,22597,341,12663,534,-13506
9009,6610.5,15,586,115,-2172
1397,4874.7,31,115,73,-2042
1.76E+05,16940,54,7098,391,-7546
4243.9,5542.7,19,292,88,-871
4412.5,4847.8,21,340,72,-1342.6
94747,15230,80,3889,322,-6792
1.84E+05,20931,73,6746,403,-4590
12000,8285,80,693,128,-2570.2
1600,4470.6,6,134,58,-1309
53237,11695,92,2534,209,-4279
32066,10811,44,1638,183,-3440
11991,8186.8,82,693,128,-2554
70637,13007,40,3211,262,-5509
1.16E+05,16344,55,4426,271,-4220
1.45E+05,14862,176,6057,308,-5912.8
63.357,2751.7,6,5,33,-455
1.40E+05,16483,86,5537,449,-9760
11956,8476,78,693,128,-2436.3
1.76E+05,20959,98,5537,449,-9300
2.09E+05,17624,83,7823,378,-7547
4539,6916.1,4,270,107,-2176
52.252,2514.4,6,5,33,-518
4285.1,5458.4,12,292,88,-1570
37655,8256.8,11,1885,196,-1970
2226.6,3728,3,161,43,-567.71
71570,12378,27,3211,262,-5625.5
3276.1,5681.2,38,249,71,-1061
26122,9594.2,60,1463,168,-5641
73530,12107,30,3630,249,-4460
4176.5,5887.4,120,318,88,-1559.4
11591,9357.7,29,654,156,-2949.7
4.97E+05,21416,108,15863,584,-14524
58184,12817,55,2822,223,-1550
2.14E+05,18364,247,7708,388,-10076
6850.5,7212.7,29,395,119,-939
4342.6,5225.5,17,292,88,-923
3.29E+05,16304,83,12027,418,-10586
4304.7,5222.9,14,292,88,-1700
85712,10521,27,3450,220,-3010
5.19E+05,22920,131,18067,540,-11062
68183,13498,56,2192,224,-2040
10366,10396,31,587,154,-2270
59784,13139,48,2822,223,-2070
13317,6458.1,14,804,96,-1575.5
59672,10805,194,3052,257,-5679
34527,10330,130,1691,208,-4352.6
30267,8904.4,27,1513,132,-2038.1
1.40E+05,16264,90,5537,449,-12300
1.43E+05,14295,170,6057,308,-6052.3
49664,11238,32,2677,216,-4220
1.60E+05,18956,86,6290,388,-9900
1962.6,4039.6,5,166,63,-1113.4
4958.4,6530.4,54,318,108,-1926.6
20382,6626.6,109,1156,114,-2734
2.57E+05,22874,75,8870,540,-13300
81988,12991,41,3539,272,-5340
1.16E+05,15234,53,4426,271,-5340
4256.9,5295,19,292,88,-1260
1341.6,3306.6,33,100,40,-692.4
16048,9101.9,84,890,164,-5035
40627,10734,172,1877,229,-5324
1.17E+05,15965,60,4426,271,-4050
16607,8681.2,76,844,142,-2768.9
1.64E+05,16550,67,6744,352,-7680.1
2.71E+05,15877,72,10238,371,-9703
5282.8,6502.1,7,292,79,-2490
18059,8877.8,22,1019,153,-2321
55.342,2320.5,94,5,33,-275
43222,11063,15,1885,196,-2950
84966,12215,105,3463,263,-10054
1411.1,4664.4,27,102,51,-837.32
16848,8686.9,35,931,183,-4304.7
4032,6571.7,49,271,111,-2315
37195,9483.4,25,1689,196,-5168
27068,9215.3,27,1414,166,-2810
1.22E+05,13873,29,5112,253,-5980
71637,12598,54,3211,262,-5533.2
11450,5726.5,24,764,102,-1933.8
1.90E+05,20755,75,6746,403,-7340
47240,14057,70,2061,273,-5701.1
10057,7595.8,22,621,123,-2467.7
35923,11725,74,1526,226,-4267
11884,8314.1,79,693,128,-2561.3
11978,8629.7,82,693,128,-2450.1
5.40E+05,22303,86,17882,582,-14014
73788,12182,21,3630,249,-4410
59521,14342,157,2610,305,-6651.7
4265.3,5014.1,10,317,79,-1700
10773,8428.6,25,619,157,-3336
59824,13692,28,2754,247,-5200
34145,9943.1,92,1922,176,-3436.4
1.57E+06,43916,163,37040,874,-96449
51416,12606,181,2263,295,-8133
80408,13045,56,3539,272,-5490
11393,8165.9,13,695,138,-2379
52247,13734,57,2464,234,-4630
11363,6019.2,24,764,102,-1859.7
12922,7878.6,15,806,132,-2643.8
73590,12308,23,3630,249,-5200
12122,8286.4,80,693,128,-2516.1
32916,10723,75,1922,176,-3250.6
11189,5925.9,26,764,102,-1881.2
26922,9374.1,25,1364,156,-2290
92503,14246,55,3885,254,-4620
4154.8,4899.5,25,340,72,-1349.7
1.02E+05,12456,31,4621,289,-6603
10267,6189.6,15,689,109,-2720
1.13E+05,17304,39,4619,322,-5900
4375.5,5327.7,13,292,88,-696
1.49E+05,18256,62,5545,368,-10334
9939,7478.1,68,517,107,-1869.7
4298,4749.8,11,317,79,-878
19421,9846,26,1066,150,-3208
26469,8989.4,18,1364,156,-1950
13719,7712.2,59,692,125,-3258
68871,10337,0,3373,247,-4514.4
15278,8348.5,11,851,144,-2557
9877,7985.4,101,490,130,-2792.2
12169,9894.5,62,619,136,-2404.3
7130.7,5791.1,47,545,93,-1706.5
1.62E+05,18013,283,5744,387,-11310
12474,8866.2,59,619,136,-2716.5
4132.5,5678.3,116,318,88,-1489.7
7336.9,6079.6,52,545,93,-1555.5
79186,12425,48,3539,272,-6750
50984,12988,33,2464,234,-4320
9595.5,8088.1,98,490,130,-2918.9
11544,8665.5,59,653,127,-3663
9260.6,7368.1,14,554,138,-3179.5
1.42E+05,14479,53,5844,315,-5920
15016,7379.6,75,970,134,-2685.1
58970,13160,45,2192,224,4340
37331,9902.3,43,1997,196,-2870
27502,9849.1,22,1521,194,-2570
92328,11030,31,3706,228,-5937
63236,12821,67,2822,223,-1050
1446.2,3987.7,42,133,52,-994.01
49467,12564,54,2464,234,289
5070.1,5389.1,26,343,85,-1520
19003,9093,21,1018,163,-3380
29870,10278,32,1364,156,-2160
96282,14590,48,4249,294,-5732.6
27564,10019,29,1521,194,-1670
2.80E+05,24247,85,8870,540,-9700
35062,10708,110,1691,208,-4273
2185,4228.6,20,165,54,-1033
94861,13092,217,1746,164,-3329
28958,9067.4,32,1626,179,-3496.8
30795,9716.2,125,1747,171,-3170.3
11227,6088.2,24,764,102,-1904
3128.3,4846.2,33,249,71,-1173.5
4276.6,5291.3,9,317,79,-1190
8702.4,6885.9,64,517,107,-1902.7
