Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Category
28538,10378,24,1522,195,-2240.3,4
2.17E+05,19375,195,6982,378,-11272,0
51994,13583,58,2334,288,-6104.1,4
2.45E+05,20676,83,8871,540,-12899,3
14130,7334.9,95,809,121,-2123.7,3
35350,9994.7,28,1810,215,-2737.6,0
28950,8830,34,1627,178,-3432.9,5
1.13E+05,12530,42,4904,234,-2812.3,3
4265.9,5012.8,10,317,79,-1699.4,2
34844,9956.7,89,1922,176,-3726.5,5
7979.6,6381.2,8,484,97,-2636.2,0
1.24E+05,16173,58,4067,314,-6969.5,0
4118.6,6140.8,127,317,87,-1483.2,2
1.41E+05,14867,63,5845,314,-4939.1,4
14071,7138.8,84,810,120,-2374.2,2
2188.6,4144.7,21,164,54,-1057,1
27037,9401.5,28,1415,165,-2220.9,5
32767,11070,30,1636,192,-5959.8,0
1794.2,5403.5,12,146,77,-1428.6,5
13730,7227.9,29,812,121,-2370.2,0
50.123,2584,6,6,34,-511.83,2
10152,8414.2,29,621,123,-2216.7,5
10443,6867.7,15,689,108,-3159,3
16350,7919.7,83,849,129,-2409.5,0
90592,10238,18,4143,223,-4532.4,0
27511,9174.1,24,1413,165,-3141.1,3
6.86E+05,24631,81,21044,643,-19625,0
9494.6,8416.5,99,489,130,-2893.5,2
16838,8915.8,82,972,171,-4144.4,4
1.59E+05,13386,64,7090,307,-6133.9,0
60231,11647,35,2977,239,-3735.9,0
9919.2,7509.7,67,517,106,-1856.3,5
2.60E+05,23692,106,8350,537,-9479.2,2
39033,9359.6,16,1884,196,-2808.8,3
12627,7292.3,10,693,130,-2265.9,0
24918,9372.7,21,1110,165,-2761.2,3
19684,8881,34,1118,199,-1643,0
3943.2,4680.4,12,316,79,-1270.1,3
71161,12260,41,3210,262,-5671.6,5
875.02,5685.2,11,64,72,-936.19,0
40389,11179,167,1934,228,-6679.9,0
11854,6459,20,766,105,-1801.7,3
4764.3,6147.9,25,343,85,-1279.6,1
46178,13261,49,2061,273,-5749.3,3
2.00E+05,18617,91,6645,445,-7117.4,0
38703,11853,136,1522,199,-4692.7,0
6518.7,7783.2,27,457,119,-2881.7,0
1455.4,3793.7,34,133,52,-1025.6,4
1.17E+05,15815,54,4425,272,-4920.2,2
1.02E+05,13794,51,4535,308,-9117.2,0
46.651,2623.1,7,4,32,-532.74,2
7528.3,5840.9,59,456,105,-1899.4,3
9149.5,5814.7,12,650,99,-2388.9,0
1.69E+05,15373,72,6745,402,-4410,3
22175,9972.8,32,1209,183,-4676.4,0
3952.9,5447.7,19,273,88,-1684.4,0
52089,9759.6,31,2599,187,-3139.4,3
87094,10911,14,3450,220,-2308.5,3
1.88E+05,15098,58,7332,323,-5336.2,0
61872,13174,55,2828,274,-5600.9,0
37601,9088.6,39,2055,179,-3840.5,5
1.01E+05,14556,44,3451,220,-1959.7,4
55798,12732,65,2192,225,-3500.4,4
38057,9315.9,43,2054,180,-3814.2,5
5352.9,6664.7,8,291,80,-1730.5,2
4171,4703,10,318,79,-1959.9,2
4836.5,6786.3,37,345,106,-1965.5,4
32825,9853.5,92,1921,175,-3412.4,4
79965,13394,48,3539,273,-5161.5,4
1.49E+05,18106,146,5528,341,-7250.1,0
58187,12347,62,2822,224,-2519.3,4
13577,6534,14,803,97,-1569.7,2
24876,9509.9,22,1206,131,-3295.1,0
8146.4,8694.9,31,425,132,-2649.3,0
2.83E+05,17237,84,10381,450,-12392,0
70521,12244,53,3211,262,-5585.2,5
7496.1,5641.8,76,458,105,-2039.5,2
14176,7330.4,52,810,120,-2111.1,3
3248.1,5243.8,11,245,85,-782.78,0
9520.4,7477.5,17,622,123,-2525.1,3
90869,13245,42,3884,255,-4578.9,3
8784,7382.1,72,518,108,-2012.5,4
4833.5,5847.5,23,343,86,-1192.5,1
51468,10978,115,2535,208,-4529.6,5
5.16E+05,22561,149,18068,539,-11551,4
1449.1,3943.8,42,134,53,-964.77,2
10446,6697.6,15,690,110,-2170.5,4
46876,12750,22,2188,215,-4500.8,3
4785.1,5873.6,25,344,84,-1337.6,1
28716,8977,36,1363,157,-1989,4
61569,13327,5,1752,210,-7149.2,0
2.43E+05,23116,104,8350,536,-9400.4,3
1.60E+05,18485,207,6289,388,-8950.8,4
31792,8934.2,40,1867,172,-2936.6,0
1.39E+05,12907,38,5738,280,-7159.7,0
3226.1,5503.7,9,225,93,-1465.6,0
30799,10236,101,1747,172,-3015.4,4
12366,9196.2,89,619,137,-2680.8,3
49904,11465,23,2678,217,-5249.8,3
1.18E+06,27125,107,32297,755,-18405,0
46425,13810,61,2062,272,-5826.9,5
7042.2,5648.3,47,545,93,-1673.7,4
11337,5899.7,24,765,101,-1956.4,4
1.16E+05,15178,49,4425,271,-4031.3,2
4297.8,4748.8,10,317,80,-877.31,2
79352,14716,74,3467,321,-7143,5
43259,11151,16,1884,196,-3170.8,4
36062,9401.1,38,1998,195,-3661.8,5
1.13E+05,11552,40,4905,234,-3681.5,2
4195.9,5611.7,12,318,78,-1170.3,2
17192,8852.5,81,845,141,-2678.2,4
3.23E+05,16449,64,11272,452,-9758.8,0
1.97E+05,14048,43,7463,378,-10482,0
9073.4,7401.5,39,517,103,-1528.3,5
5042.8,6629.7,63,345,108,-2173,3
2171.7,3875,19,166,53,-1151.3,2
99782,15382,61,4346,332,-5579.3,0
12304,8066.1,58,659,143,-3257.9,0
16666,9604.5,85,974,172,-3774,3
24754,7993.5,26,1364,155,-786.81,3
2.30E+05,17546,61,7825,352,-8940,0
60164,14000,52,2755,247,-4330,5
51101,11062,99,2533,209,-4408.3,5
38397,10399,122,1752,206,-4140.4,2
3.17E+05,24943,133,9974,493,-13405,0
59513,14080,173,2610,306,-7289.8,0
53024,14048,51,2335,287,-4269.3,5
5.16E+05,22249,145,18067,539,-11563,4
2.44E+05,20679,48,5025,369,-6135,0
17397,9373.9,78,844,143,-2643.1,4
16938,9614.3,81,974,172,-3927,3
91950,14044,81,3720,282,-6273.1,0
79282,13089,44,3297,259,-4445.4,0
7804.2,6325.4,68,458,104,-1694.5,2
30663,9408.5,125,1747,170,-3272.7,5
4.81E+05,21041,183,14983,459,-12220,0
3922.3,7123.3,72,249,100,-2048.7,4
5.16E+05,22555,145,18066,541,-11510,4
5266.8,6946.7,60,345,108,-2145.1,3
4207,4690.8,9,316,79,-1819.8,2
48066,9958,21,2676,215,-6608.2,3
28026,9022.6,29,1415,167,8219.6,4
18031,7700.8,50,1023,138,-1884.7,0
13580,6774.4,12,803,97,-1541.8,2
12011,7685.7,39,654,151,-4345.2,0
27059,11421,36,1110,167,-761.59,4
3.78E+05,25677,97,11893,536,-17270,0
2933.8,4863.5,39,249,71,-1197.1,3
2.54E+05,25373,74,8344,480,-15235,0
39290,9304.3,24,1885,196,-4060.1,3
12005,8525.9,83,693,128,-2493.3,2
9001.1,7597.9,21,515,101,-1109,5
28224,10333,80,1403,157,-2722.1,4
33484,8309.2,17,1807,156,-4184,0
4297.2,5347.4,10,317,79,-843.85,2
2.60E+05,24711,99,8350,537,-9399.8,3
17113,8414.4,82,845,141,-2896.7,3
1.63E+05,16618,83,6743,352,-7485,2
93489,15534,185,3803,337,-7553.9,0
5287.6,6919.2,11,292,78,-2379.3,2
1.52E+05,16974,56,3976,287,-7745.3,0
5201.6,6171.6,9,293,79,-2012.1,2
1587.6,4627.8,15,88,67,-852.26,0
2.51E+05,16149,86,9405,408,-9368.1,0
70909,11543,28,3459,246,-6768.9,0
91918,14661,57,3980,328,-7263.9,0
39823,10645,22,2119,192,-3972.9,4
12109,6504.4,13,767,130,-2084.6,0
1.74E+05,18338,84,5543,446,-8879.8,0
10240,6410.6,12,689,110,-2739.2,3
4225.3,5115,11,341,73,-1359.2,5
1340.8,3308.3,33,101,40,-691.03,2
9870.8,7103.2,19,583,118,-1348.2,0
1935.1,4365.9,5,166,63,-1073.3,3
49493,10434,22,2677,217,-5439.5,3
3.93E+05,25556,372,12354,545,-13449,0
95430,17767,57,3544,337,-8756.2,0
3.76E+05,21842,72,13152,508,-12750,0
13628,9455.3,19,728,147,-2830.7,4
12227,8848.3,94,618,136,-2715.5,3
27044,10429,42,1470,213,-4338.2,3
9521.9,7587.5,15,621,122,-2416.7,3
39267,11424,109,1752,204,-3990.5,5
37381,9970.1,31,1697,175,-3115.1,0
91968,11223,40,4240,229,-4928.9,0
30877,9645.8,46,1687,174,-3372.3,0
50124,11477,20,2676,217,-3780.2,3
34501,10175,84,1923,176,-3499,4
21419,8663.4,32,1306,164,-4480.8,0
11979,8631,82,693,128,-2450.8,3
1.39E+05,17684,75,5536,450,-9018.4,2
1.41E+05,13977,47,5844,316,-4181.3,3
2846.5,4841.3,44,223,67,-1257.6,5
4.15E+05,21989,64,14126,474,-9391.6,2
37588,11601,112,1750,204,-3728.8,3
60314,14233,29,2754,247,-5418.9,3
5306.3,6851.4,66,346,106,-2175.1,3
1.17E+05,15168,65,4427,272,-5871.7,3
1936.8,3930.3,6,166,64,-1094.7,3
9767.9,8750.2,15,555,138,-2735.3,4
26065,11700,48,979,204,-4218,0
1.13E+05,11294,46,4905,234,-3141.6,3
1280.8,2776.6,32,99,40,-714.63,4
2673.9,5771.3,4,151,72,-1726.5,0
71793,13885,55,3214,288,-4576,0
52976,13674,48,2333,287,-5915.1,5
1.45E+05,14862,176,6057,307,-5912,3
73396,12122,21,3631,248,-2939.5,2
11356,9096.8,35,653,156,-2985.3,4
32477,9307.6,86,1921,175,-3655.4,3
49835,13589,33,2189,215,-5371.1,3
5.16E+05,23172,138,18066,539,-11556,4
10776,8061.9,17,652,124,-2598.8,0
26719,9235.9,31,1363,157,-1958.5,3
63816,11600,27,3053,251,-3965.3,0
4.79E+05,24926,86,8875,488,-10885,0
1.55E+05,10599,22,6496,243,-5784,0
25797,8826.8,33,1518,157,-3090.5,3
50101,13910,63,2058,224,-1999.8,3
26169,9442.2,26,1416,173,-3363.2,4
49619,12377,36,2464,234,-3860.8,3
1.66E+05,16725,73,6744,353,-7416.7,2
81024,11298,31,3714,279,-6670.1,0
2.08E+05,16369,56,7718,405,-10864,0
1.35E+05,17942,250,4826,387,-11251,0
53152,9394.3,11,2600,188,-2729,3
81988,12992,40,3538,273,-5340.9,4
4905.5,4860.1,35,366,80,-3084.1,0
2.56E+05,26071,95,8351,538,-7479.9,4
71048,12403,27,3210,263,-5826.3,5
3502.1,5020.7,47,132,50,-798.17,2
1.11E+05,15287,40,4618,322,3630.7,4
4.10E+05,22110,64,14124,472,-8458.8,2
1384.4,4053,23,102,50,-923.7,5
14515,7252.5,27,805,153,-1522.8,0
1.00E+06,36163,235,22322,921,-20974,0
5117.6,5464,9,292,79,-1449.7,2
46675,9614.8,37,2319,203,-3183.3,0
2118.3,4225.1,23,166,54,-965.48,2
4455.5,5250.7,15,339,71,-1262.1,3
6613.6,6708.6,16,394,119,-2161.4,4
12054,8714.2,91,618,137,-2699.5,3
9631,8223.4,19,553,139,-2882.3,3
56461,14556,66,2058,223,-2479.2,2
42870,9717.1,25,2129,196,-4348.6,0
4383.2,4933.2,21,339,72,-1344.1,3
46669,11981,17,2189,216,-6790.2,3
51.139,2490.7,96,6,34,-443.83,2
59666,13476,49,2537,243,-5929.5,0
8922.7,10043,33,346,126,-3609.8,0
43582,10984,190,2062,229,-6838.6,0
11688,9231.3,37,655,156,-3085.8,4
9436.8,7313.6,12,554,141,-2997,0
11120,5859.1,32,763,103,-1911.2,4
2.49E+05,20404,101,8350,538,-12900,3
5576.3,7456.2,18,292,80,-1429.5,2
1961.6,4214.7,7,165,64,-1078,3
79687,13759,69,3298,283,-5037,0
11515,5877.8,24,763,102,-1857,4
3081.6,5272.5,39,250,70,-1114,2
51060,8559.1,25,2598,187,-3870.2,2
11794,6084.3,12,765,106,-1939.5,4
53337,13054,52,2463,233,-4439.4,4
4400,5144,13,291,79,-1660.3,4
1.61E+05,17942,74,6289,389,-10101,3
4.61E+05,25340,120,14475,596,-15909,0
13650,9108.6,14,729,149,-2875.8,4
7290.4,6117.9,49,545,93,-1627.9,2
68088,12478,41,3136,259,-7616.1,0
4.30E+05,20293,295,11579,480,-10258,0
2.76E+05,24285,77,8870,540,-12300,4
12291,8193.7,78,693,128,-2450.8,4
4414.9,5301.6,18,292,89,-1590.1,2
27248,9387.5,94,1403,158,-2924.3,3
4247.2,5493.6,13,293,87,-1549.5,1
1.42E+05,14417,169,6058,309,-6044,3
38369,10929,56,1750,204,-3867.6,4
25518,8832,27,1355,149,-3394.3,0
3816.1,4817,15,318,79,-1140.1,2
1.15E+05,12501,37,4905,235,-2561.7,3
68827,13979,63,3139,314,-4828.2,0
39538,12900,53,1876,253,-5704.6,0
1354.4,3530.1,28,100,40,-660.2,3
38590,10621,39,2119,192,-3857.1,3
12182,8234.1,50,620,136,-2509,3
12868,7994.6,16,807,133,-2766.4,4
37854,9524.5,46,2055,180,-3768.3,4
35580,11336,43,1582,234,-11.087,2
92794,14158,61,3886,255,-4959.2,4
67810,14389,59,2192,224,-3401.1,4
49511,11281,29,1413,166,-2069,4
4139.9,5800.3,121,318,87,-1542.2,2
52519,12226,43,2334,287,-7038.5,0
24741,9452.5,10,1111,165,-456.99,4
13973,7339.2,87,809,120,-2389.3,4
37777,10445,129,1752,204,-4161.2,2
87431,15477,54,2060,222,-3099.9,2
52250,11743,41,2678,215,-5529.7,4
24391,11013,28,1112,167,-335.37,4
1.40E+05,14454,40,5844,316,-6539.5,3
56582,12395,40,2752,248,-4516.2,0
1.13E+05,14681,64,4529,331,-9019.8,0
99358,13563,16,2321,218,-8478.1,0
12151,6658.9,8,765,106,-1822.4,3
1.97E+05,18307,37,7460,390,-8459.8,3
60031,12732,25,2754,246,-4780.9,3
34805,9874.8,119,1692,209,-4415.3,4
4.62E+05,24337,58,15506,484,-11600,4
1.02E+05,14703,169,4439,349,-9408.6,0
27885,11274,80,1468,213,-3564.7,4
12841,8148,14,807,132,-2672.3,4
26476,9832,29,1416,175,-3364.9,4
26681,9975.9,22,1415,175,-3212.6,4
1.14E+05,12675,47,4906,236,-3361.1,3
1.04E+05,12992,15,3450,220,-2810.7,3
6093.4,6557.8,33,370,106,-1569.8,0
53.479,2515,6,5,33,-403.44,3
27992,9981.3,103,1402,159,-2855.5,4
25344,8359,25,1519,156,-3136.3,3
84668,10445,25,3449,219,-2009.2,3
1.20E+05,13735,45,4906,236,-2726.6,4
4345.8,5412,17,291,88,-793.52,1
2886.6,5228.3,54,224,68,-1178.7,3
79824,13063,60,3539,273,-5329.1,4
59649,13710,164,2617,254,-7528.2,0
4280.3,5227.5,10,317,78,-1199.2,2
1462.6,3981.7,38,133,52,-1001.2,2
2181.5,4007.6,20,164,54,-1130.5,2
21180,12190,112,1163,241,-4124.1,0
5.16E+05,22527,144,18067,541,-11426,4
1.59E+05,15842,65,6744,353,-7576,2
50372,10863,100,2535,208,-4614.1,5
33388,9550.5,91,1923,177,-3586.8,4
4017.7,5105.7,5,339,71,-1173.6,4
26292,8439.1,17,1572,159,-1955.4,0
28951,9151.7,29,1627,178,-3329.3,4
10318,8335.5,22,622,124,-2298.5,5
1.40E+05,13813,48,5844,316,-4851.6,2
5.15E+05,22652,145,18067,539,-11527,4
25906,9576.9,20,1414,174,-3326.9,4
12841,7884.3,15,807,131,-2702,4
51876,14203,46,2333,289,-5887,5
52713,13755,53,2334,288,-5901.3,5
4269.6,5267.2,7,318,79,-1370.3,2
50.81,2469.8,95,4,33,-220.46,2
59693,12394,51,2821,223,-2370.9,4
5247,6763.1,62,347,107,-2188.3,3
12307,8053,24,689,146,-3127.7,0
2.01E+05,20637,48,7458,390,-6568.2,4
66609,14912,52,2058,222,-2490.9,3
59787,13128,70,2823,222,-3641.5,5
1806.2,5550.9,47,150,86,-2488.1,0
3089.2,5025.9,43,133,51,-789.8,3
1398.2,3625.1,23,100,40,-590.11,4
20535,10863,116,1021,189,-4457.7,0
20270,9276.9,74,1161,164,-3462,2
13811,7181.4,93,810,120,-2323.5,3
4218.9,5138.7,119,317,89,-1582.7,3
4.78E+05,25386,52,15504,484,-10300,5
49584,10699,26,2678,217,-4981.3,3
31393,11823,31,1111,165,-107.25,3
48829,13539,57,1582,233,-2699,2
5.16E+05,22572,136,18067,539,-11465,4
16786,8617.1,79,845,143,-2836.7,3
29265,9422.6,79,1309,170,-5888.1,0
71082,12384,37,3045,266,-6071.1,0
1636.2,5511.2,14,148,76,-1380.7,5
96032,13814,94,4068,300,-7380.7,0
39415,9536.8,21,1885,196,-3230.2,3
27991,9454.9,32,1583,200,-4426.6,0
57385,14835,21,1168,180,-6185.6,0
17247,8794,73,845,142,-2813.1,3
5.16E+05,22414,142,18066,541,-11524,4
55549,10393,32,2968,210,-4128.6,0
4246,5439.9,18,291,87,-1261.4,2
40390,12781,48,1582,239,-7236.2,0
28693,9301.9,34,1627,179,-3372.2,4
26549,9393.9,20,1414,173,-3346.9,3
37261,10515,28,1751,200,-3624.5,0
7661.2,5722.2,72,457,103,-1842.7,2
1.97E+05,17739,90,6983,333,-8023.9,0
11990,8132.1,83,693,129,-2560.5,2
1455.2,4134.5,39,133,51,-957.18,3
87329,11540,19,3449,220,-2200.8,4
58912,12532,53,2262,207,-6963.9,0
4.14E+05,22430,68,14125,473,-8870,3
39936,11477,36,2119,194,-3729.7,4
27276,9204.1,24,1363,157,-2708.7,3
9530.2,7841.9,97,490,130,-3033,2
60.064,2437,96,4,34,-469.92,2
19270,8015.6,25,1155,152,-2943.6,0
2.05E+05,18622,176,7458,381,-8642,0
1.63E+05,18489,83,6289,389,-9859.7,3
12408,8744.5,89,620,135,-2660.3,4
94619,17083,92,3633,366,-8498.4,0
1.61E+05,16435,67,6744,353,-7535.1,2
1.22E+05,16103,63,4426,271,-5219.4,3
9613.3,7988.9,95,489,130,-3048.2,2
8058.4,8088,25,518,120,-2065.8,0
5546.5,6935.3,17,291,78,-1850,2
52153,14738,40,2465,233,-3269.1,4
4.11E+05,21693,60,14124,472,-8578.7,2
5402.3,5575.8,11,370,90,-1431.1,0
4700.5,7772.1,38,270,132,-2611.8,5
56243,12045,62,2191,225,-2090.1,4
11979,8169.2,81,694,129,-2552.6,3
4746.7,7449.9,26,272,131,-2806.3,5
46840,9278,30,2676,215,-5288.9,3
3846.1,4707.1,22,317,78,-1409.9,2
55088,14815,38,2189,216,-5981,3
14562,13583,148,696,231,-4578.4,0
73742,10930,52,3627,295,-5916.7,0
3.31E+05,25672,97,8351,538,-8029.6,3
72679,10776,45,3702,229,-6300.2,0
4345.5,5153.7,10,316,79,-1397.6,3
4752.5,5292.6,28,343,86,-1371.1,1
1.52E+05,20232,90,5538,450,-2798.7,2
4.33E+05,21291,307,11269,400,-58766,0
1387.8,3889.4,29,132,51,-880.87,4
13467,9711.5,31,767,180,-4276.7,0
63882,14799,29,2898,249,-6646.7,0
4.06E+05,16976,94,14805,438,-11374,0
13786,9062.6,14,730,147,-2964.1,3
5.52E+05,28488,131,15871,678,-16917,0
38051,8991.9,44,2053,180,-3708,5
80012,14843,67,2059,223,-2579.9,3
11290,8539.1,34,654,155,-3115.2,4
5247.4,7025.3,58,347,106,-2092,2
49315,11163,34,1413,167,-1687.4,5
41121,9706.7,75,2060,222,-2278.8,3
20080,8613.3,80,1162,164,-3255.4,4
59935,12809,25,2755,246,-5100.8,3
58693,10392,92,2905,218,-154.58,3
1775.4,5945.6,51,136,83,-1754.4,0
1.27E+05,15556,137,4916,315,-8516.2,0
29557,8528.5,41,1465,172,-3098,0
5266.6,6410.4,7,292,80,-2210,2
1.41E+05,17169,216,4630,322,-7432.2,0
96789,14552,56,4249,294,-5629.8,4
1.39E+06,33823,161,23370,766,-13544,0
1.51E+05,19209,75,5536,450,-9029.7,2
1.97E+05,18729,63,7460,389,-8120.4,4
47678,8730.3,49,2321,180,-3458.3,0
25676,7464.5,38,1415,166,-1970.1,4
9420.8,7926.2,99,489,131,-2893.4,2
32922,9737.4,87,1921,176,-3651.4,4
4068.5,4512.6,24,339,71,-1365.1,5
2141.4,3748.5,7,161,42,-549.72,5
2.78E+05,23373,68,9275,467,-6233.4,5
29622,8786,18,1574,173,-4037,0
39092,9431.9,26,1886,195,-2220.3,3
51736,9036.9,22,2598,187,-1280.9,4
73424,12425,27,3631,250,-3679.8,2
14148,7151.7,96,808,119,-2372.7,3
4911.1,5789.4,22,342,86,-1478,1
11543,8664.9,60,652,126,-3662.1,0
30617,9793.6,120,1747,170,-3219.9,5
3095.9,5021.3,36,250,71,-1174.1,2
1.16E+05,15849,63,4425,271,-3349.4,3
1450.7,4081.9,32,134,51,-882.07,2
13233,6637.7,19,803,97,-1563.3,2
16583,9394.6,83,972,172,-19.196,4
12863,8075.9,33,805,132,-2543.7,4
1.45E+05,16978,188,5848,361,-7439.9,3
28215,9380.1,99,1402,157,-2831.2,4
4.10E+05,21457,56,14124,473,-9310.7,2
51267,13179,40,2464,233,-3422.8,2
36429,9915.4,45,1998,196,-4000.7,5
4943,5007.4,35,340,78,-1372.7,0
27225,9307.3,26,1365,156,-2540.1,3
23355,9641.7,36,1312,175,-3926.9,5
81349,15213,53,2060,223,-1920.2,3
73728,12404,28,3629,250,-3780.8,2
1.23E+05,13920,29,5637,325,-6760.1,0
43100,12423,46,2191,252,-5162.4,0
9468.9,8536.7,99,489,131,-2955,4
8817.4,7337.2,70,518,106,-1839.3,4
4.10E+05,19755,62,14125,472,-11600,2
27201,9076.8,91,1403,157,-2909.5,4
37960,10589,99,1751,205,-3927,3
3.45E+05,20672,92,11563,461,-7768.9,5
7822.1,6908.4,62,486,109,-2548.1,0
43564,9864.1,98,2182,158,-3024.3,4
12000,8611.7,86,693,128,-2524.9,2
45775,11373,17,2322,201,-3978.9,0
2337.1,3661.2,17,167,68,-1937.8,0
7250.5,5796.8,49,546,92,-1768.8,3
25383,8053.4,29,1365,156,-2140.9,4
38747,9556.7,17,1885,196,-2419.6,3
7776.1,7989.9,13,453,110,-1208.7,3
56784,12996,47,2192,223,-3699.8,4
91380,11307,57,3886,255,-5909.5,3
1.14E+05,11251,44,4904,235,-3109.8,3
50917,14215,39,2464,235,-3729.5,3
5.16E+05,22604,148,18067,539,-11535,4
79056,12735,48,3539,273,-5289.7,3
1.61E+05,19188,86,6291,389,-9459.4,4
96278,15319,60,3884,253,-5690.4,4
8877.5,7931.5,15,522,129,-3571.1,0
4.81E+05,21331,90,15691,553,-17236,0
12001,8285,80,694,127,-2571.4,2
66.771,3022.6,93,6,33,-232.17,5
54729,11965,51,2607,278,-7619.4,0
9580.2,8617.1,22,553,137,-2765.1,3
36351,11433,14,1756,225,-5645.7,0
4136.1,5347.3,13,291,78,-2421.6,4
15571,7541.4,82,971,133,-2824.3,4
3536.5,5462.6,50,132,52,-796.96,4
7378.3,7670.8,8,398,127,-2593.8,0
53396,10649,43,2382,209,-5516.1,0
1.19E+05,13204,39,4904,236,-3210.6,3
10670,8626.5,81,588,139,-2747.7,3
29929,9282.3,41,1637,181,-3732.1,0
17274,10172,80,973,173,-3854.5,4
1.24E+05,13013,59,4914,280,-8402.8,0
2185.4,4229.6,20,165,55,-1033.2,2
11363,6017.1,25,764,103,-1860.1,4
7659.9,6773.6,12,483,110,-4207.4,0
4357.1,5529.2,14,291,87,-590.32,1
28226,10326,37,1522,193,4299.1,4
1.74E+05,20642,100,5537,449,-5490.6,2
73226,12872,34,3212,262,-5539.8,5
53525,10649,25,2319,185,-5329.1,0
38231,11299,41,1804,189,-5586.6,0
16130,8578.9,21,928,129,-2548.2,0
97298,14487,51,4249,294,-5671.4,4
40262,13352,41,1580,233,-1730.1,2
4166.2,5398.4,11,317,78,-1130.7,2
10637,10318,39,586,154,-2269.3,3
29590,9714.8,28,1364,157,-1950.8,5
1476.4,3875.4,40,132,52,-1029.4,2
60698,13484,28,2753,247,-5518.7,4
1905.8,4102.8,8,166,62,-1087.7,2
51.73,2453.3,6,6,34,-538.31,1
4.09E+05,19310,70,14126,472,-9900.4,3
53061,13965,60,2335,288,-5927.4,5
52867,13673,53,2333,288,-6098.6,4
2995.7,5175.1,37,204,78,-1200.3,3
4170.5,7050.5,72,250,100,-2460.8,4
21218,8197.6,13,1252,144,-37275,0
31004,8963.6,16,1633,164,-5076.5,0
3476.2,5148.4,50,132,51,-790.87,3
20500,8915.9,83,1163,162,-3335,4
4147.9,6420.9,61,270,100,-1973,0
2217.2,3959.6,19,166,54,-1067.4,2
1.24E+05,12915,40,4520,250,-5281.9,0
40115,11068,62,2059,222,318.7,3
1154.1,4817.4,16,88,61,-961.06,0
48348,10632,25,2677,217,-4469.9,3
2219.6,3787,9,161,43,-564.09,5
75992,13631,42,3216,265,-4010.3,3
13875,10704,38,733,184,-3807.5,0
26308,9460.6,42,1416,173,-3365.7,3
63952,11521,11,2394,220,-7045.8,0
27045,10934,44,1469,215,-4333.6,3
29685,9508,35,1626,178,-3395.1,5
25821,9614.8,26,1414,175,-3392.6,4
2053.4,3571.4,10,160,44,-584.77,5
33045,9340.9,88,1921,177,-3581,3
29452,8627.2,100,1632,183,-4552.1,0
4327.7,5205.9,15,292,89,-1259,2
26096,9587,26,1414,175,-3395.9,3
71757,12581,31,3210,262,-5610.5,5
28863,8660.4,37,1625,178,-3510.9,5
2.79E+05,24601,70,8869,539,-11701,4
4.12E+05,20913,64,14125,472,-7011.1,3
11806,7056.3,28,804,114,-4136.8,0
28030,8591.3,85,1521,157,-2677.8,4
49407,11199,23,2676,215,-3979.2,4
60759,13063,136,2672,238,-4619.5,5
3.39E+05,20445,84,11563,462,-6320.2,4
41771,13598,51,1580,234,-2850.1,2
5.17E+05,22889,129,18067,540,-10989,4
4549.3,5795,21,340,71,-1196.6,4
52000,10077,30,2600,189,-3120.5,4
4994.7,6736.6,58,347,108,-2148.2,3
78736,12655,51,3539,273,-4740.7,4
95700,16277,93,3545,339,-5959.4,0
1.84E+05,18858,229,6991,439,-6999,0
13384,8168.4,21,805,147,-3617.2,0
2176.3,3872.5,20,165,55,-1149.5,2
84965,12216,106,3462,263,-10054,0
1.97E+05,17823,59,7457,399,-8782.9,0
2163.3,3823.9,19,164,53,-1160.7,2
30946,11551,102,1418,183,-4057.4,0
1814.2,4332.1,13,165,63,-1024.7,5
51080,14384,39,2464,235,-2459.2,3
23456,8276.6,28,1251,153,-2732.1,4
1.46E+05,17390,187,5848,363,-7314.7,4
68854,11359,140,3372,246,-5331.5,1
2.80E+05,25085,108,8350,537,-10700,3
39243,10354,40,2117,194,-4306.8,4
26340,8000.2,24,1365,155,-2819.5,3
77666,15318,92,3467,320,-6527,5
12811,6778.6,31,804,96,-1540.2,5
26685,8398.5,29,1364,155,-3550.6,2
51939,10035,32,2600,187,-3298.9,3
9511.7,7774.1,101,490,130,-3057.8,2
13250,6957.8,24,803,95,-1536.7,2
48217,10503,21,2676,215,-4350.2,2
15980,8170.9,63,981,165,-4727.7,0
61001,14170,37,2189,215,-5040.7,4
4849.1,5843.8,23,344,86,-1489.3,1
3.47E+05,21161,78,10963,425,-10275,0
1.16E+05,12574,42,4905,236,-3471.3,2
52324,9893.8,32,2600,187,-3320.9,4
2.53E+05,24191,100,8349,536,-7870.8,5
10783,8716.2,34,655,157,-3116.2,4
51553,13778,41,2465,234,-5110.1,3
1.08E+05,14336,54,4619,323,-7579.4,5
7233.4,5865.1,50,544,92,-1645.3,2
47926,14005,76,2062,273,-5717.8,5
32816,11709,32,1110,166,-612.14,4
79901,12929,35,3539,271,-5180.1,3
52082,14418,63,2334,289,-5496.1,5
46739,12559,142,2194,242,-6052.8,0
48900,10548,24,2676,215,-3801.7,3
49299,10877,21,2677,215,-3611.5,3
1.81E+05,15482,104,7578,335,-8217,0
2.36E+05,19439,82,7843,471,-11920,0
74330,12992,53,3210,263,-5537.7,4
10391,5923.8,14,689,110,-3689.5,3
